path,line,summary,category,severity,remediation_hint,test
retrieval/hybrid_search.py,60,from opentelemetry import trace as otel_trace,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,61,"from langtrace_python_sdk import with_langtrace_root_span, with_additional_attributes  # type: ignore[import] - No type stubs available",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,82,import bm25s  # BM25 sparse retrieval - No type stubs available,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,83,from bm25s.tokenization import Tokenizer  # BM25 tokenization - No type stubs available,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,117,"_QDRANT_URL = _config_registry.get_str('QDRANT_URL', 'http://127.0.0.1:6333')",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,158,"_QDRANT_URL = _config_registry.get_str('QDRANT_URL', 'http://127.0.0.1:6333')",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,526,"endpoint=""https://api.voyageai.com/v1/embeddings"",",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/hybrid_search.py,560,"endpoint=""https://api.openai.com/v1/embeddings"",",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
retrieval/rerank.py,257,"endpoint=""https://api.cohere.ai/v1/rerank"",",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/alerts.py,222,"""externalURL"": ""http://alertmanager:9093""",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/alerts.py,584,"""slack_webhook_url"": ""https://hooks.slack.com/services/..."",",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/alerts.py,585,"""discord_webhook_url"": ""https://discordapp.com/api/webhooks/..."",",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/api_tracker.py,303,# Check for localhost/local first,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/api_tracker.py,304,"if ""localhost"" in url_lower or ""127.0.0.1"" in url_lower:",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,7,from langtrace_python_sdk import langtrace,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,9,LANGTRACE_HOST = os.getenv('LANGTRACE_API_HOST'),URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,39,from server.langgraph_app import build_graph,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,307,"base = (os.getenv(""QDRANT_URL"") or """").rstrip(""/"") or ""http://127.0.0.1:6333""",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,316,"u = os.getenv(""REDIS_URL"") or """"",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,318,"if u.startswith(""redis://""):",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,319,"host_port = u.split(""redis://"", 1)[1].split(""/"", 1)[0]",URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,356,endpoint = os.getenv('LANGCHAIN_ENDPOINT') or 'https://api.smith.langchain.com',URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,1539,from common.metadata import enrich  # uses MLX or Ollama based on env,URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,2103,host = os.getenv('MCP_HTTP_HOST') or '127.0.0.1',URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
server/app.backup.py.bak,2105,port = int(os.getenv('MCP_HTTP_PORT') or '8013'),URL,high,"Unify under IndexingConfig/TracingConfig (e.g., QDRANT_URL, REDIS_URL).",Change QDRANT_URL/REDIS_URL in agro_config.json; GET /api/pipeline/summary health updates.
