id,input,output,expected_output,repo,hit
golden_1,Where is the hybrid search implementation that combines BM25 and vector search?,"1. /Users/davidmontgomery/agro-rag-engine/retrieval/hybrid_search.py
2. /Users/davidmontgomery/agro-rag-engine/public/agro/js/profile_renderer.js
3. /Users/davidmontgomery/agro-rag-engine/retrieval/hybrid_search.py
4. /Users/davidmontgomery/agro-rag-engine/retrieval/hybrid_search.py
5. /Users/davidmontgomery/agro-rag-engine/retrieval/hybrid_search.py","Expected files:
  - retrieval/hybrid_search.py
  - server/langgraph_app.py
  - server/app.py
  - eval/eval_rag.py",agro,true
golden_2,How does the indexing pipeline work? Where is the main indexer?,"1. /Users/davidmontgomery/agro-rag-engine/gui/js/index_status.js
2. /Users/davidmontgomery/agro-rag-engine/indexer/index_repo.py
3. /Users/davidmontgomery/agro-rag-engine/gui/js/indexing.js
4. /Users/davidmontgomery/agro-rag-engine/tools/playwright.config.ts
5. /Users/davidmontgomery/agro-rag-engine/gui/js/indexing.js","Expected files:
  - indexer/index_repo.py
  - retrieval/ast_chunker.py
  - common/filtering.py
  - common/config_loader.py
  - retrieval/embed_cache.py
  - common/qdrant_utils.py",agro,true
golden_3,Where is the FastAPI server and main API routes defined?,"1. /Users/davidmontgomery/agro-rag-engine/server/app.py
2. /Users/davidmontgomery/agro-rag-engine/server/metrics.py
3. /Users/davidmontgomery/agro-rag-engine/scripts/test_backend.py
4. /Users/davidmontgomery/agro-rag-engine/server/feedback.py
5. /Users/davidmontgomery/agro-rag-engine/server/reranker_info.py","Expected files:
  - server/app.py
  - server/langgraph_app.py
  - server/feedback.py
  - server/telemetry.py
  - server/metrics.py",agro,true
golden_4,Where is the LangGraph conversational RAG pipeline implemented?,"1. /Users/davidmontgomery/agro-rag-engine/cli/chat_cli.py
2. /Users/davidmontgomery/agro-rag-engine/server/langgraph_app.py
3. /Users/davidmontgomery/agro-rag-engine/cli/chat_cli.py
4. /Users/davidmontgomery/agro-rag-engine/server/langgraph_app.py
5. /Users/davidmontgomery/agro-rag-engine/server/langgraph_app.py","Expected files:
  - server/langgraph_app.py
  - retrieval/hybrid_search.py
  - server/tracing.py
  - server/app.py",agro,true
golden_5,How does the cross-encoder reranker work?,"1. /Users/davidmontgomery/agro-rag-engine/scripts/train_reranker.py
2. /Users/davidmontgomery/agro-rag-engine/server/reranker.py
3. /Users/davidmontgomery/agro-rag-engine/scripts/train_reranker.py
4. /Users/davidmontgomery/agro-rag-engine/scripts/promote_reranker.py
5. /Users/davidmontgomery/agro-rag-engine/retrieval/rerank.py","Expected files:
  - retrieval/rerank.py
  - retrieval/hybrid_search.py
  - scripts/train_reranker.py
  - scripts/mine_triplets.py
  - gui/js/reranker.js",agro,true
golden_6,Where is the MCP (Model Context Protocol) server for stdio transport?,"1. /Users/davidmontgomery/agro-rag-engine/gui/js/mcp_server.js
2. /Users/davidmontgomery/agro-rag-engine/gui/js/mcp_server.js
3. /Users/davidmontgomery/agro-rag-engine/gui/js/mcp_server.js
4. /Users/davidmontgomery/agro-rag-engine/server/app.py
5. /Users/davidmontgomery/agro-rag-engine/server/mcp/server.py","Expected files:
  - server/mcp/server.py
  - server/mcp/http.py
  - node_mcp/server.js
  - server/langgraph_app.py",agro,true
golden_7,Where is the GUI main HTML and JavaScript?,"1. /Users/davidmontgomery/agro-rag-engine/playwright.gui.config.ts
2. /Users/davidmontgomery/agro-rag-engine/tests/playwright.gui.config.ts
3. /Users/davidmontgomery/agro-rag-engine/gui/app.js
4. /Users/davidmontgomery/agro-rag-engine/public/agro/app.js
5. /Users/davidmontgomery/agro-rag-engine/gui/app.js","Expected files:
  - gui/index.html
  - gui/app.js
  - gui/js/navigation.js
  - gui/js/chat.js
  - gui/js/dashboard.js
  - gui/css/styles.css",agro,true
golden_8,How does the navigation system work in the GUI?,"1. /Users/davidmontgomery/agro-rag-engine/tests/gui/navigation.spec.ts
2. /Users/davidmontgomery/agro-rag-engine/gui/js/navigation.js
3. /Users/davidmontgomery/agro-rag-engine/gui/js/navigation.js
4. /Users/davidmontgomery/agro-rag-engine/gui/js/navigation.js
5. /Users/davidmontgomery/agro-rag-engine/gui/js/navigation.js","Expected files:
  - gui/js/navigation.js
  - gui/index.html
  - gui/app.js",agro,true
golden_9,Where is the chat interface implementation?,"1. /Users/davidmontgomery/agro-rag-engine/public/agro/js/chat.js
2. /Users/davidmontgomery/agro-rag-engine/gui/js/chat.js
3. /Users/davidmontgomery/agro-rag-engine/gui/js/chat.js
4. /Users/davidmontgomery/agro-rag-engine/public/agro/js/chat.js
5. /Users/davidmontgomery/agro-rag-engine/gui/js/chat.js","Expected files:
  - gui/js/chat.js
  - gui/index.html
  - server/app.py
  - server/langgraph_app.py
  - cli/chat_cli.py",agro,true
golden_10,Where is the AST-aware code chunking implemented?,"1. /Users/davidmontgomery/agro-rag-engine/retrieval/ast_chunker.py
2. /Users/davidmontgomery/agro-rag-engine/retrieval/ast_chunker.py
3. /Users/davidmontgomery/agro-rag-engine/retrieval/ast_chunker.py
4. /Users/davidmontgomery/agro-rag-engine/retrieval/ast_chunker.py
5. /Users/davidmontgomery/agro-rag-engine/retrieval/ast_chunker.py","Expected files:
  - retrieval/ast_chunker.py
  - indexer/index_repo.py
  - common/filtering.py",agro,true
